filename,label
train/0c0a0e78-e7df-45a5-96d9-5450114b53e0.png,Слегка направо
train/d552729c-c838-42dd-87ba-ac021b5d7359.png,"Налево,Прямо,Направо"
train/ccfe99ee-96c4-4686-9a10-94ae6553a2f5.png,"Налево,Направо+Прямо"
train/98106882-3ca2-46cb-9d80-e73a2d81fbe0.png,"Налево,Прямо,Прямо"
train/5a3dd6d3-5bfb-4470-8139-a5ff9660b16c.png,Налево
train/6da3366c-ad3d-4b5d-b039-9830922b471e.png,"Прямо,Направо"
train/a099bf7b-6aab-4a96-acb0-4f4759527d33.png,Прямо
train/aad15dc1-c271-4559-9aaf-31a1022492d8.png,"Налево,Прямо"
train/ab880703-10ba-40b3-ba22-98e95e42dbd5.png,"Налево,Прямо"
train/c29b2e9f-e180-469a-8ff9-f54075c36583.png,"Налево,Прямо,Направо+Прямо"
train/c962013f-47bf-465a-a20e-e8eae9e18c34.png,Налево
train/ba6f2ce8-d6d5-4062-b728-86bb1131a11a.png,"Налево,Прямо"
train/5613296c-ed1c-48d4-87ea-60f14d9ec37d.png,"Прямо,Направо"
train/9292b320-777c-46dd-bcdd-e0fca0145b10.png,"Прямо,Прямо,Направо"
train/573d90e0-a996-45a6-a937-a26e6ced8dfe.png,"Налево,Прямо"
train/7f91f43a-f063-446c-b730-81f026c3aaf3.png,"Прямо,Прямо,Направо+Прямо"
train/6e836df8-560c-4d0c-ae30-0130cf2d4aff.png,"Прямо,Направо+Прямо"
train/3eb686da-8934-4703-b2f8-aa30faa431c1.png,"Налево+Прямо,Направо+Прямо"
train/104fb6a7-5372-4d4f-a0c5-b41568491385.png,Прямо
train/2d608c79-3424-4da3-b201-827d0158234a.png,Слегка направо
train/26c992bb-987e-4e8b-adc4-3d6262bae76a.png,"Прямо,Направо"
train/25c10983-68d1-4c8a-825c-d0f450ab6b97.png,Прямо
train/a1088159-907c-40a5-a0cf-383cb52f7d5b.png,"Налево+Прямо,Направо+Прямо"
train/5a71829c-a620-471c-91c0-58ad1e93fcc2.png,"Налево+Прямо,Направо+Прямо"
train/063a9df6-3e7d-45a9-a574-2db002583f42.png,"Прямо,Направо"
train/e723d139-98ac-40e9-9584-2692dcbc2597.png,Прямо
train/aedad31d-836d-4d8d-8104-a8cd5c4e9dfa.png,Слегка направо
train/d74b5d07-c248-4474-8ef8-9a11b6e6b265.png,Прямо
train/a69cb0b1-7dc9-4e5d-90bc-d5e6ba92cb6f.png,"Прямо,Прямо,Направо"
train/7aab2753-951f-4008-b208-d59f10226af0.png,Прямо
train/18cea0b7-c1d1-47d5-83b1-e8c6247701dd.png,Прямо
train/0363a20c-4634-46fe-a146-ded116729b7a.png,Налево
train/a6eeb326-9e13-45d8-913c-46f47161ffb2.png,"Прямо,Направо"
train/c2728244-9a98-4d7c-9524-bed2ce08e64b.png,"Налево+Прямо,Направо+Прямо"
train/57a706d8-8453-43cd-b57f-a20ed0c0aca4.png,Прямо
train/e58e617c-26d8-4b3d-b9de-0ffff884d85a.png,Направо
train/ede82e60-5166-4d99-9952-b4381f0596d5.png,"Налево+Прямо,Направо+Прямо"
train/a09a23cf-98ed-468b-82e9-5a39f85c6a4b.png,Прямо
train/abd34860-3be9-4b62-87d0-c60d76638194.png,Прямо
train/ccd1d540-520e-4693-b87f-e9555f91816a.png,"Налево,Направо"
train/a610435b-4c2d-4314-acef-2be8428d3845.png,Направо
train/6085eb91-7d45-44bb-8d1b-ea5b121adfa7.png,Слегка направо
train/57b93490-3619-411f-a145-aeb72ff9806e.png,"Налево+Прямо,Направо"
train/81ffef4f-6b6e-4483-b866-91aefdddc03f.png,"Налево,Направо"
train/c33cf3b3-3151-431d-ba45-209861e1432e.png,"Прямо,Прямо,Направо"
train/e6d03852-ff0d-4fcd-986c-a5cc3e548250.png,"Налево,Прямо"
train/a3c82abb-9d5e-4a9d-ab46-2ebce684364a.png,"Налево,Прямо,Направо"
train/559adf1b-9c30-42a3-9184-bd16e04be3c8.png,"Налево+Прямо,Прямо"
train/9536f681-eff4-4756-89d7-a91b2236eb1b.png,"Прямо,Прямо,Прямо,Направо"
train/01db88a1-01db-4ced-a683-f57b8a9293c6.png,"Налево,Прямо,Прямо"
train/15c17336-4183-4f06-90cd-c6f768b3c3bc.png,"Прямо,Прямо,Направо"
train/90adf4cd-1187-4783-8f28-4483258a52b3.png,"Налево+Прямо,Направо"
train/2ef92e3d-e830-4a84-9a7a-b2bd92e868f5.png,Налево
train/10274c4a-57b7-41af-ac6f-54b84238efe7.png,Прямо
train/bb5048bf-329f-4d9e-ab08-1b9a5be012b2.png,Налево
train/5c7f86fa-c7ec-4dc6-a782-1cb002cf368f.png,Прямо
train/a7f48ede-5c55-4a6d-9f2b-73401d91a8ea.png,Прямо
train/47820a37-8639-4084-8f70-d4622c7262c1.png,Прямо
train/e9dae783-0d45-4144-9e11-a11d0b86cd86.png,"Налево,Направо+Прямо"
train/66c4ab46-2c9c-45d9-9b27-2d07c21523e7.png,Налево
train/1c139fe5-6177-4ee3-88b6-b30116d7f295.png,"Налево+Прямо,Прямо,Направо+Прямо"
train/1252fd46-e6c1-483a-b1f7-d65fe38890c0.png,"Налево+Прямо,Прямо"
train/c10dac10-feeb-4345-88c9-c412a7e47997.png,"Направо+Прямо,Направо"
train/4bc936f8-5dee-44b8-9876-fd681b8a6c23.png,"Налево,Направо+Слегка налево"
train/a57ca0c6-caa7-4884-9778-ef3099d56c7d.png,Слегка налево
train/b78494bc-5920-4397-b9af-fad55b94b2d7.png,Прямо
train/3cad287e-676d-49f1-98ec-3390d712cce7.png,Прямо
train/1fb58e65-0fd6-4d71-85e0-859ec512d64e.png,"Налево,Направо+Прямо"
train/9fd26782-f91f-4435-a002-f0490e7a8725.png,"Налево,Направо+Прямо"
train/438b8fc7-8015-4190-8fc6-6a4ef783dbfb.png,Налево
train/bf9d5133-e656-4322-9ba8-4fd1329989e9.png,Прямо
train/b6c48189-ea4c-44fd-826b-831762b09ebc.png,Направо
train/977f2fed-a650-47b7-be17-417b29bb4da3.png,"Налево,Прямо,Направо"
train/ec9abfc4-321a-4a86-9beb-9e5b7e9e5781.png,"Прямо,Прямо,Направо"
train/a056deb8-65f2-4d0c-9a4c-d420663f8bef.png,"Налево,Направо+Прямо"
train/d22fb68c-8cff-41ac-bbf6-753260b2125e.png,Прямо
train/3829e6d7-f8ce-43c7-b418-1b212357e552.png,Направо
train/ec9565d8-497a-4d88-8448-fe55b8fd3508.png,Направо
train/5986fb9d-ba0f-4fc6-8e52-744b5d3a2a3f.png,Прямо
train/eeb139c7-f3a5-4208-abe2-b71602dde344.png,"Налево+Прямо,Прямо"
train/ce2513fe-14b6-4149-8a3a-ab197958af60.png,Прямо
train/a737df25-6f08-4b2f-968c-b3fc72b0b1cd.png,"Налево+Прямо,Направо+Прямо"
train/00d414eb-d8c2-4fc2-a225-07b876ce6c4e.png,"Прямо,Направо"
train/a7633e3f-537e-43b7-89ee-0ae1a27616e6.png,"Налево,Направо"
train/ef9a48f0-88a6-4fdd-85ca-9defaf39e5e0.png,"Налево,Прямо"
train/5e6f1f7e-975f-4500-89ee-326e8931ee94.png,"Прямо,Направо"
train/943e9152-3518-457f-b7c8-70b15579e9c9.png,"Прямо,Направо+Прямо"
train/2266fef5-654f-4114-9ce8-bce4692b1f9f.png,Прямо
train/6a7c8555-80dd-4a3c-a4e1-7039e9941272.png,Прямо
train/df964fb2-80aa-40ef-becc-09f68931b9b2.png,"Прямо,Направо"
train/f77f079b-9a54-4b06-9d23-8bfc829cf028.png,Прямо
train/865c34f1-0bc7-438c-a778-a73bf629de2e.png,Направо
train/6c2514aa-5e92-4ed2-bc92-0063d342e41f.png,"Налево+Прямо,Прямо"
train/505c2db2-f551-42e9-826d-86640fda89c2.png,"Прямо,Направо+Прямо"
train/7f889496-8447-41a1-8509-8b39428559ac.png,Прямо
train/1ca715d7-1d90-4fb8-978d-71b491bdae10.png,"Налево,Направо+Прямо"
train/859020da-bbae-4599-8788-cb00f44f6a19.png,Прямо
train/4b6c4349-3c54-43cd-9c55-ec20b16bff9c.png,"Налево,Направо+Прямо"
